discount_name,orders,total_gross_sales,total_discount_amount,total_returns,total_net_sales,total_shipping_price,total_tax_amount,grand_total_sales
3G09Y7MN,1,49.990,-7.490,0.000,42.500,10.200,0.000,52.700
yh20,1,59.990,-11.990,0.000,48.000,0.000,0.000,48.000
OOSX4WN6,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
OD4QD63B,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
B7L5HHYO,1,134.980,-20.240,0.000,114.740,0.000,0.000,114.740
U98ZQFIW,1,299.940,-44.990,0.000,254.950,0.000,0.000,254.950
LUJOHX8Y,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
ZBMWICIC,1,99.980,-14.990,0.000,84.990,9.500,0.000,111.490
IPRLXVOG,1,109.980,-16.490,0.000,93.490,5.000,0.000,98.490
0G3R5BPU,1,139.970,-20.990,0.000,118.980,9.500,0.000,133.480
CLAYDL7U,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
95GTT9FP,1,104.980,-15.740,0.000,89.240,9.500,0.000,112.130
GRh5GSggoT,1,99.980,-5.000,0.000,94.980,5.000,0.000,99.980
T0EGKRXG,1,99.980,-14.990,0.000,84.990,5.000,0.000,89.990
FBT-BUNDLE-P-18549CF7D2A,1,74.970,-14.990,0.000,59.980,9.000,4.830,73.810
HY96RMGO,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
FBT-BUNDLE-P-185227AF7EA,1,74.970,-14.990,0.000,59.980,9.000,0.000,68.980
ZN9TVPV3,1,74.990,-11.240,0.000,63.750,9.990,0.000,73.740
OWLH2BJX,1,199.960,-29.990,0.000,169.970,0.000,0.000,169.970
MNFDDQQM,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
R2OLU5ET,1,104.980,-15.740,0.000,89.240,9.500,0.000,98.740
7IDUL3MX,1,79.980,-11.990,0.000,67.990,9.990,0.000,77.980
8SWDKSFF,1,49.990,-7.490,0.000,42.500,9.990,0.000,52.490
MZ3LFPQS,1,49.990,-7.490,0.000,42.500,9.500,3.900,55.900
JHADSQFY,1,99.980,-14.990,0.000,84.990,9.500,0.000,94.490
3ENL9DV9,1,99.980,-14.990,0.000,84.990,5.000,0.000,89.990
ZICHHQRX,1,99.980,-14.990,0.000,84.990,5.000,0.000,89.990
1YUOVRYC,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
8SBCQSQL,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
EYQKXABY,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
IQMO3N8R,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
RX4S7S6M,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
HGRZGWQ7,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
FBT-BUNDLE-P-184CFCA8FD1,1,82.970,-14.990,0.000,67.980,9.000,0.000,76.980
CLYYMPUO,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
FQ7TP027,1,84.980,-12.740,0.000,72.240,5.000,0.000,77.240
IVTCDQ2Q,1,49.990,-7.490,0.000,42.500,21.860,0.000,64.360
CC10,1,59.990,-5.990,0.000,54.000,5.000,0.000,59.000
SIMJMZNI,1,184.960,-27.740,0.000,157.220,0.000,0.000,157.220
G9SNSF1Z,1,99.980,-14.990,0.000,84.990,5.000,0.000,89.990
HIAVMCHE,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
OXOZCRZL,1,109.980,-16.490,0.000,93.490,0.000,0.000,93.490
O3VYACAT,1,99.970,-14.990,0.000,84.980,9.500,0.000,94.480
RSBE3L1X,1,134.970,-20.240,0.000,114.730,0.000,0.000,114.730
ZGQVCZKB,1,99.980,-14.990,0.000,84.990,5.000,6.300,96.290
WWCDC4CF,1,114.980,-17.240,0.000,97.740,5.000,0.000,102.740
P8LS4UEC,1,49.990,-7.490,0.000,42.500,9.990,0.000,52.490
